sku,nombre,categoria,precio_stock,stock,talla,color,descripcion
URB-001,polera Básica Clásica,polera,12990,150,S/M/L/XL,Blanco/Negro/Azul,polera de algodón 100% con cuello redondo. Ideal para uso diario.
URB-002,Jeans Slim Fit Hombre,Pantalones,29990,80,28/30/32/34/36,Azul Oscuro/Negro,Jeans de mezclilla con ajuste slim. Cierre de bragueta y bolsillos traseros.
URB-003,Vestido Midi Floral,Vestidos,34990,45,S/M/L,Rosa/Negro,Vestido largo con estampado floral. Tela liviana ideal para temporada de primavera/verano.
URB-004,Chaqueta Denim Unisex,Chaqueta,44990,30,S/M/L/XL,Azul Claro/Azul Oscuro,Chaqueta de mezclilla con botones frontales. Diseño clásico unisex.
URB-005,Polo Deportivo,Polos,17990,100,S/M/L/XL,Verde/Blanco/Rojo,Polo de secado rápido con cuello tipo polo. Perfecto para actividad deportiva.
URB-006,Falda Plisada Midi,Faldas,24990,55,S/M/L,Negro/Beige/Fucsia,Falda plisada hasta la rodilla. Tela con elastano para mayor comodidad.
URB-007,Buzo Hoodie Unisex,Buzos,27990,70,S/M/L/XL,Negro/Gris/Blanco,Buzo con capucha y bolsillo canguro. Algodón cepillado interior.
URB-008,Short Deportivo,Shorts,14990,120,S/M/L/XL,Negro/Azul/Verde,Short deportivo con cordón ajustable. Tela breathable para entrenamiento.
URB-009,Camisa Formal Slim,Camisas,22990,60,S/M/L/XL,Blanco/Azul/Rosa,Camisa de algodón con ajuste slim. Ideal para oficina o eventos formales.
URB-010,Pantalón Cargo,Pantalones,26990,65,28/30/32/34/36,Khaki/Negro/Verde,Pantalón cargo con múltiples bolsillos. Tela resistente y cómoda.
URB-011,Crop Top Básico,Tops,9990,90,S/M/L,Blanco/Negro/Rojo,Crop top de algodón elástico. Diseño sencillo y versátil.
URB-012,Chompa de Punto,Chompas,32990,40,S/M/L/XL,Beige/Gris/Negro,Chompa tejida de punto con cuello redondo. Tejido cálido para invierno.
URB-013,Zapatillas Urbanas UrbanStep,Zapatos,39990,85,36/37/38/39/40/41/42,Blanco/Negro/Gris,Zapatillas urbanas de cuero sintético. Suela de goma antideslizante.
URB-014,Bolso Tote Cuero Vegan,Bolsos,18990,70,Única,Negro/Marrón/Borgoña,Bolso tipo tote de cuero vegano. Con bolsillo interior con cierre.
URB-015,Gorro Tejido Invierno,Accesorios,7990,150,Única,Negro/Gris/Rojo,Bordado a mano con lana acrílica. Ideal para temperaturas bajo cero.
